Business Name,Phone,Email,Website,Rating,Reviews,Category,Score,Priority,Tags,Address
"Chuck's Plumbing LLC","(813) 200-4118","chuck@detarienterprises.com","http://www.chucksplumbing.com/",4.8,514,"Plumber",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available",""
"Rolando's H.V.A.C.","(813) 373-6804","info@rolandoshvac.com","https://www.rolandoshvac.com/tampa/?utm_campaign=gmb&utm_medium=organic&utm_source=google",4.9,1624,"HVAC contractor",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","5117 W Rio Vista Ave, Tampa, FL 33634"
"Hometown Heating and Air","(813) 773-6500","office@thehometownair.com","https://thehometownair.com/",4.7,406,"HVAC contractor",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","3104 N Armenia Ave, Tampa, FL 33607"
"Onsite Construction & Restoration","(813) 394-8783","contact@onsiteresidential.com","https://onsiteconstructionfl.com/?utm_campaign=gmb",4.7,84,"Construction company",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","1305 N Armenia Ave, Tampa, FL 33607"
"ACS Home Services- Tampa Air Conditioning Repair","(813) 703-1042","office@acshomeservices.com","https://www.acshomeservices.com/tampa-air-conditioning-plumbing-electrical/",4.7,2822,"HVAC contractor",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","1712 E Seward St, Tampa, FL 33604"
"Expedited Heat & Air","(813) 937-5272","office@expeditedheatandair.com","https://expeditedheatandair.com/",4.8,118,"HVAC contractor",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","3611 E 10th Ave B, Tampa, FL 33605"
"Action Air Conditioning - AC Repair Tampa","(813) 935-6644","info@actionairconditioning.com","https://actionairconditioning.com/contact-us/?utm_source=google&utm_medium=gmb&utm_campaign=local-listing_tampa",4.6,617,"HVAC contractor",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","8926 N Armenia Ave, Tampa, FL 33604"
"Smooth Construction","(727) 505-7598","smooth.construction.florida@gmail.com","https://www.smoothconstruction.org/",5,59,"Construction company",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade",""
"ProperCoat Painting","(727) 472-3931","dmayberry@propercoatpainting.com","http://propercoatpainting.com/",4.9,70,"Painter",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","806 N Gomez Ave, Tampa, FL 33609"
"Aboveground Pool Installers Tampa","(813) 417-1622","","http://abovegroundpoolinstallers.com/",4.9,31,"Swimming pool contractor",90,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;high-value-trade","5207 Wilcox Rd, Tampa, FL 33624"
"J & C Fiberglass Pools","(813) 295-9958","florida@jandcfiberglasspools.com","https://www.jandcfiberglasspool.com/",4.9,55,"Swimming pool contractor",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","2701 W Busch Blvd, Suite 160, Tampa, FL 33618, Tampa, FL 33614"
"Hive Outdoor Living","(813) 579-2444","","http://hiveoutdoor.com/",4.1,89,"Swimming pool contractor",90,"high","weak-website;established;ai-voice-fit;phone-available;high-value-trade","311 S Willow Ave suite b, Tampa, FL 33606"
"Ultra Custom Group","(813) 900-5595","","http://www.ultracustomgroup.com/",4.9,31,"Swimming pool contractor",90,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;high-value-trade","5401 S Dale Mabry Hwy, Tampa, FL 33611"
"Landscape Fusion","(813) 435-3007","","http://landscape-fusion.com/",4.7,46,"Swimming pool contractor",90,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;high-value-trade","3323 S Dale Mabry Hwy, Tampa, FL 33629"
"Albert & Ellis Landscaping & Tree Service","(813) 215-1436","info@albertellislandscaping.com","http://www.albertellislandscaping.com/",4.9,358,"Tree service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","100 Ashley Dr S #600, Tampa, FL 33602"
"Everything Outdoors","(813) 321-8733","office@everythingoutdoors.biz","http://www.everythingoutdoors.biz/",4.5,74,"Landscaper",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","6304 N Nebraska Ave, Tampa, FL 33604"
"Pro Plumbing Services Corp","(813) 238-9511","pro.plumbing@aol.com","http://www.proplumbing-air.com/",4.7,166,"Plumber",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","5205 N Nebraska Ave, Tampa, FL 33603"
"Painters on Demand","(855) 707-2468","sales@paintersondemand.com","http://paintersondemand.com/",4.5,63,"Painter",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","3201 N Florida Ave, Tampa, FL 33603"
"MP Professional Painting","(813) 541-0982","mpprofessionalpainting@yahoo.com","http://mpprofessionalpainting.com/",4.9,145,"Painter",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","9420 Lazy Ln # C8, Tampa, FL 33614"
"Scottsdale Outdoors","(813) 514-3193","kyle@scottsdaleoutdoors.com","http://www.scottsdaleoutdoors.com/",5,74,"Tree service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","8412 N Gomez Ave, Tampa, FL 33614"
"3H AC of Tampa","(813) 979-4208","info@3hac.com","https://3hac.com/",4.9,653,"HVAC contractor",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","930 E 124th Ave, Tampa, FL 33612"
"Tampa Bay Pest Pros","(727) 515-6077","tampabaypestpros@gmail.com","http://www.tampabaypestpros.com/",5,109,"Pest control service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","3166 Tampa Rd suite 9, Oldsmar, FL 34677"
"Barker's All Star Tree Care","(816) 209-2173","barkersallstartreecare@gmail.com","http://barkerstreecare.com/",5,251,"Tree service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available",""
"RUIZ ELECTRICAL SERVICES LLC","","info@ruizelectricalservices.net","http://www.ruizelectricalservices.net/",5,21,"Electrician",90,"high","weak-website;growing;high-rated;ai-voice-fit;email-available;high-value-trade","5834 Mohr Loop, Tampa, FL 33615"
"Hoffman Electrical & A/C","(866) 845-3375","//www.google.com/maps/place/Hoffman+Electrical+%26+Air+Conditioning/@27.9610853","https://hoffmanelectrical.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb",4.8,4039,"Electrician",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","1909 N 57th St, Tampa, FL 33619"
"Mr. Electric of Tampa Bay","(813) 474-9789","//www.youtube.com/@Mr.ElectricofTampaBay","https://www.mrelectric.com/tampa-bay?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic",4.9,1034,"Electrician",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","7901 Benjamin Rd, Tampa, FL 33634"
"Brandon Electric","(813) 736-6478","customerservice@brandonel.com","https://brandonelectricinc.com/?utm_source=gmb&utm_campaign=tampa",4.8,1421,"Electrician",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","1034 Skipper Rd, Tampa, FL 33613"
"A First Choice Pressure Washing","(813) 770-5290","pressureking007@gmail.com","http://afirstchoicetampa.com/",4.9,121,"Pressure washing service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","8827 Fountain Club Blvd, Tampa, FL 33635"
"Luxe Powerwash","(813) 536-7337","luxepowerwash@gmail.com","http://luxepowerwash.com/",4.9,73,"Pressure washing service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","5001 Bridge St, Tampa, FL 33611"
"Tampa Bay Soft Wash & Pressure Cleaning, LLC","(727) 641-1296","info@tbsoftwash.com","http://tbsoftwash.com/",4.9,133,"Pressure washing service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","2569 Redwood Cir, Clearwater, FL 33763"
"Hurricane Tree Specialists","(813) 928-5785","TreeSquirrelz@gmail.com","http://hurricanetreespecialists.com/",5,154,"Tree service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","8606 Leeward Dr, Tampa, FL 33634"
"Hairy Tree Care","(321) 300-3221","john@findhairy.com","http://findhairy.com/",5,84,"Tree service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","9323 Hunters Park Way, Tampa, FL 33647"
"Buccaneer Tree Service","(813) 953-6257","buccaneertreeservice@gmail.com","http://buccaneertreeservices.com/",4.9,133,"Tree service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","2510 Mobilaire Dr, Lutz, FL 33559"
"Troncos's Land","(813) 751-9443","treeservice@troncosland.com","http://www.troncosland.com/",4.9,171,"Tree service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","9202 Celebration Ct, Tampa, FL 33647"
"D&Y Tree Services","(813) 607-2889","info@dytree.com","http://www.dytree.com/",4.9,174,"Tree service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","206 W 109th Ave, Tampa, FL 33612"
"Pestgo Exterminators Inc","(813) 875-3083","vance@pestgoexterminatorsinc.com","http://www.pestgoexterminatorsinc.com/",4.6,72,"Pest control service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","4425 N Cortez Ave, Tampa, FL 33614"
"Hughes Exterminators","(813) 884-1555","tampa@hughes-exterminators.com","http://www.hughes-exterminators.com/florida/tampa-service-center",4.6,256,"Pest control service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","1781 W Hillsborough Ave, Tampa, FL 33603"
"Tampa Bay Pest Management","(813) 416-3692","kurt@tampabaypestmgmt.com","http://www.tampabaypestmgmt.com/",5,174,"Pest control service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available",""
"Tri-S Pest Control","(813) 936-5850","info@tris1.com","http://www.tri-spestcontrol.com/",4.8,402,"Pest control service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","802 W Waters Ave, Tampa, FL 33604"
"ONYX Electric","(813) 706-5959","hr@onyxelectricfl.com","https://onyxelectricfl.com/",5,778,"Electrician",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","12718 Dupont Cir, Tampa, FL 33626"
"Small Jobs Electric, Inc.","(813) 303-0052","info@smalljobselectric.com","https://www.smalljobselectric.com/",4.8,2195,"Electrician",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","5002 W Linebaugh Ave Ste C, Tampa, FL 33624"
"All About Flooring Tampa Bay Contractors","(813) 313-9466","allaboutflooring.fl@gmail.com","http://flooringcontractorstampafl.com/",5,138,"Flooring contractor",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available",""
"CapMen Concrete Cutting, Core Drilling, GPR & Fire Stop","(813) 712-9606","amenendez@capmen.net","http://capmen.net/",4.5,67,"Concrete contractor",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","4824 N Hale Ave, Tampa, FL 33614"
"Lucky's Concrete Tampa","(813) 212-6784","info@luckysconcretetampa.com","http://luckysconcretetampa.com/?utm_source=google&utm_medium=local&utm_campaign=gbp",4.9,58,"Concrete contractor",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","3018 US-301, Tampa, FL 33619"
"Premier Home Pros","(855) 209-7818","youremail@yourbusiness.com","http://www.premier-homepros.com/",4.7,341,"Bathroom remodeler",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","5509 Pioneer Park Blvd, Tampa, FL 33634"
"Go Mobile Flooring Headquarters","(813) 765-5665","info@gomobileflooring.com","http://tampaflooringcompany.com/",4.5,96,"Flooring contractor",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","3429 W Spruce St, Tampa, FL 33607"
"YDY Professional Construction LLC","(813) 451-9780","ydyconstruction@hotmail.com","http://www.ydyconstruction.com/",4.9,92,"Kitchen remodeler",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","8711 N Temple Ave, Tampa, FL 33617"
"V&N Remodeling and Construction LLC","(727) 859-8125","vnrcllc@gmail.com","http://vnrc.biz/",4.9,148,"Stucco contractor",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","1546 Illinois Rd, Clearwater, FL 33756"
"The Kitchen Installers - Kitchen Cabinet Installers","(813) 484-2681","info@thekitcheninstallers.com","http://www.thekitcheninstallers.com/",5,70,"Kitchen remodeler",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available",""
"Pressure Washing Man","(813) 570-3732","kenny@pressurewashingman.com","http://www.pressurewashingman.com/",5,123,"Pressure washing service",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","14311 Village View Dr, Tampa, FL 33624"
"J Rivers Fence, LLC","(813) 992-4610","info@jriversfence.com","http://jriversfence.com/",4.9,91,"Fence contractor",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","106 S Oregon Ave #2, Tampa, FL 33606"
"Rainier Roofing LLC","(813) 920-9065","info@rainierbuilders.com","https://rainierroofing.com/",4.6,128,"Roofing contractor",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","5000 N Nebraska Ave, Tampa, FL 33603"
"Heaven Sent Roofing","(813) 710-6322","//www.google.com/maps/place/Heaven+Sent+Roofing/@27.9294261","https://heavensentroofingfl.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb",4.9,108,"Roofing contractor",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","4016 Henderson Blvd, Tampa, FL 33629"
"Evans Roofing of Tampa Bay","(813) 353-0845","Elissa@evansroof.com","https://www.evansroof.com/contact-tampa-fl",4.7,70,"Roofing contractor",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","5518 N Armenia Ave, Tampa, FL 33603"
"RoofSmith of Tampa Bay, Inc.","(813) 419-0502","","http://www.myroofsmith.com/",4.8,25,"Roofing contractor",90,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;high-value-trade","5013 Tampa W Blvd, Tampa, FL 33634"
"Avatar Roofing","(813) 962-7663","avatarroofing@gmail.com","https://avatarroofing.com/",4.7,76,"Roofing contractor",90,"high","established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","4407 N Thatcher Ave, Tampa, FL 33614"
"DPR Construction","(813) 354-0995","","http://www.dpr.com/",4.3,23,"Construction company",85,"high","weak-website;growing;ai-voice-fit;phone-available;high-value-trade","Heights Union East, 2002 N Tampa St Suite #100, Tampa, FL 33602"
"Roofing Contractors Tampa, Five Star Roofing and Construction, Roof Repair, Asphalt Shingles","(800) 661-4026","","https://fivestarroofingconstruction.com/",4.7,363,"Roofing contractor",85,"high","established;high-rated;ai-voice-fit;phone-available;high-value-trade","9340 N Florida Ave suite i, Tampa, FL 33612"
"Bay Area Contracting and Construction","(813) 385-7242","tampabayareacc@gmail.com","http://bayareacnc.com/",5,22,"General contractor",85,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;email-available","8907 N Ola Ave, Tampa, FL 33604"
"Best Construction Company, LLC","(813) 368-1200","gbest@bestconstuctionllc.com","https://www.bestconstructioncompany.pro/",5,25,"Roofing contractor",85,"high","growing;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","19046 Bruce B Downs Blvd, Tampa, FL 33647"
"Tampa Bay General Contractors","(813) 335-5562","","http://www.tampabaygeneralcontractors.com/",5,111,"General contractor",85,"high","weak-website;established;high-rated;ai-voice-fit;phone-available","4532 W Kennedy Blvd #500, Tampa, FL 33609"
"Reese Roofing & Construction","(813) 657-5203","","https://www.reeseroofing.com/roofer-brandon-fl",5,153,"Roofing contractor",85,"high","established;high-rated;ai-voice-fit;phone-available;high-value-trade","710 Oakfield Dr suite 205, Brandon, FL 33511"
"Herman Renovations","(813) 539-1412","contact@hermanrenovations.com","http://www.hermanrenovations.com/",5,38,"Bathroom remodeler",85,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;email-available",""
"Dockside Plumbing","(813) 702-5755","","http://www.docksideplumbing.com/",4.9,183,"Plumber",85,"high","weak-website;established;high-rated;ai-voice-fit;phone-available",""
"Super Heat, Air, And Plumbing","(813) 302-1618","","http://superheatandair.com/",4.7,3900,"Air conditioning repair service",85,"high","weak-website;established;high-rated;ai-voice-fit;phone-available","6101 Johns Rd #1, Tampa, FL 33634"
"Air 24/7","(813) 491-8516","","https://air247.com/",4.9,597,"HVAC contractor",85,"high","established;high-rated;ai-voice-fit;phone-available;high-value-trade","3826 S 78th St, Tampa, FL 33619"
"Tampa AC Services Inc","(813) 797-7331","","https://tampa-acservices.com/",5,67,"HVAC contractor",85,"high","established;high-rated;ai-voice-fit;phone-available;high-value-trade","3612 Palm Crossing Dr, Tampa, FL 33613"
"Air Masters of Tampa Bay","(877) 503-0588","","https://airmasters.net/",4.7,1592,"HVAC contractor",85,"high","established;high-rated;ai-voice-fit;phone-available;high-value-trade","4830 N Florida Ave, Tampa, FL 33603"
"REM Air Conditioning of Tampa","(813) 248-5877","","https://www.remairconditioning.com/",4.8,515,"HVAC contractor",85,"high","established;high-rated;ai-voice-fit;phone-available;high-value-trade","3212 N 40th St #602, Tampa, FL 33605"
"A-1 Remodeling","(424) 352-0202","","",5,2,"General contractor",85,"high","needs-website;high-rated;ai-voice-fit;phone-available","117 Margaret St, Brandon, FL 33511"
"The Clean Plumbers - Tampa","(813) 776-6191","","http://www.thecleanplumbers.com/?utm_source=gbp&utm_medium=organic",4.8,951,"Plumber",85,"high","weak-website;established;high-rated;ai-voice-fit;phone-available","14545 N Florida Ave, Tampa, FL 33613"
"Quality Concrete and Pavers Contractor Brandon","(813) 437-9050","","",4.7,12,"Concrete contractor",85,"high","needs-website;high-rated;ai-voice-fit;phone-available",""
"5 Star Quality Construction Inc","(813) 727-6368","FiveStarQualityConstruction@verizon.net","http://5starqualityconstruction.com/",4.7,35,"General contractor",85,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;email-available",""
"Dones Construction LLC","(813) 298-4110","//www.google.com/maps/place/Dones+Construction+LLC/@27.9392891","http://www.donesconstruction.com/",5,7,"Construction company",85,"high","weak-website;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","121 N Kings Ave, Brandon, FL 33510"
"CR Pool Service LLC","(813) 534-8186","","http://www.crpoolservicellc.com/",4.2,37,"Swimming pool repair service",85,"high","weak-website;growing;ai-voice-fit;phone-available;high-value-trade","6601 Memorial Hwy #200, Tampa, FL 33615"
"Central Land Care","(813) 765-5296","parker@centrallandcare.com","http://www.centrallandcare.com/",5,29,"Lawn care service",85,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;email-available","6701 S Manhattan Ave Suite B, Tampa, FL 33616"
"Kenny's Air Conditioning & Heating Services, Inc.","(813) 875-3669","","https://ackenny.com/",4.8,293,"HVAC contractor",85,"high","established;high-rated;ai-voice-fit;phone-available;high-value-trade","4418 N Cortez Ave, Tampa, FL 33614"
"Mike's Lawn Care, Inc.","(813) 508-5853","","https://www.facebook.com/mikeslawncareinc/",4.7,35,"Landscaper",85,"high","needs-website;growing;high-rated;ai-voice-fit;phone-available","7203 S Elliott St, Tampa, FL 33616"
"Elite Land Services","(813) 412-3620","Info@elitelandservice.com","http://www.elitelandservice.com/",4.9,37,"Contractor",85,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;email-available","7305 N Florida Ave, Tampa, FL 33604"
"Bayshore Painters","(813) 850-0575","info@bayshorepainters.com","http://www.bayshorepainters.com/",5,41,"Painter",85,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;email-available","1646 W Snow Ave Suite 135, Tampa, FL 33606"
"And Services","(813) 445-4818","","https://www.andservices.com/",4.6,10660,"HVAC contractor",85,"high","established;high-rated;ai-voice-fit;phone-available;high-value-trade","5010 N Cortez Ave, Tampa, FL 33614"
"Concrete Designs of Tampa Bay LLC","(813) 803-3134","contact@concretedesignstampabay.com","http://www.concretedesignstampabay.com/",4.6,40,"Concrete contractor",85,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;email-available","14230 Carlson Cir, Tampa, FL 33626"
"Leo's Construction","(727) 337-8602","office@leosconstructionfl.com","http://leosconstructionfl.com/",5,11,"Construction company",85,"high","weak-website;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade",""
"Momentum AC & Electric","(813) 776-5320","","https://www.momentumacpro.com/",4.9,1392,"HVAC contractor",85,"high","established;high-rated;ai-voice-fit;phone-available;high-value-trade","3113 N Armenia Ave, Tampa, FL 33607"
"Presto Painting Services Tampa Bay","(813) 670-8374","","http://www.prestopaintingservices.com/",4.9,562,"Painter",85,"high","weak-website;established;high-rated;ai-voice-fit;phone-available","4432 W Iowa Ave, Tampa, FL 33616"
"SouthEastern General Contractors","(910) 817-6928","contact@southeasterngc.com","http://www.southeasterngc.com/",5,24,"Custom home builder",85,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;email-available",""
